Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Det_Time_ms,Rand_Time_ms,Speedup,Det_Rebuilds,Rand_Rebuilds,Rebuild_Ratio,Det_StdDev_ms,Rand_StdDev_ms,Det_CV,Rand_CV,Iterations,Tag
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,15000,Ladder_of_Pairs,27566.89338,627.36487,43.940766686537614,7499.0,14.2,528.0985915492957,190.28188,6.6903,0.006902550729131161,0.010664129153422313,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,15000,Sorted_X_Axis,644.39097,624.83955,1.0312903048470603,27.0,16.9,1.5976331360946747,5.65758,5.45569,0.008779731969242213,0.008731345511019587,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,20000,Ladder_of_Pairs,49555.79692,890.41738,55.654570579024416,9999.0,18.4,543.4239130434783,409.69987,11.32712,0.008267445898638169,0.012721135339923398,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,20000,Sorted_X_Axis,871.33588,881.01634,0.9890121674701289,22.0,16.7,1.3173652694610778,7.14775,15.29901,0.008203208618013068,0.01736518303394918,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,25000,Ladder_of_Pairs,76532.10287,1086.16731,70.46069437497617,12499.0,19.6,637.704081632653,535.63893,23.00128,0.006998879031324335,0.02117655336174682,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,25000,Sorted_X_Axis,1089.83223,1078.01436,1.0109626276221404,32.0,18.4,1.7391304347826089,8.52342,7.9009,0.007820855142079988,0.0073291231482296776,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,5000,Ladder_of_Pairs,4934.56644,1901.73413,2.5947719831898897,2499.0,15.2,164.4078947368421,62.22962,14.94783,0.012610960001584253,0.007860105029507989,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,5000,Sorted_X_Axis,1899.98827,1908.05608,0.9957717123282875,28.0,13.2,2.121212121212121,12.73669,6.88618,0.006703562438309158,0.0036090029387396204,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,7,10000,Ladder_of_Pairs,16136.4415,3882.00646,4.156727111680283,4999.0,16.9,295.79881656804736,72.70087,23.29914,0.004505384288103421,0.006001829270526253,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,7,10000,Sorted_X_Axis,3888.61566,3878.59431,1.002583758237917,23.0,17.4,1.3218390804597702,20.02191,12.96991,0.005148852895377168,0.0033439718009589925,10,
