Dimensions,Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
2,Deterministic Grid,Ladder_of_Pairs,29.966228494,26.640582051957868,2.48526587,67.94713378,7499.0
2,Deterministic Grid,Sorted_X_Axis,0.18038589200000002,0.20081656227356515,0.03891946,0.49796977,58.2
2,Randomized Grid,Ladder_of_Pairs,0.041394028,0.02284835517484727,0.012435169999999999,0.06922986,17.22
2,Randomized Grid,Sorted_X_Axis,0.04226247400000001,0.023301780985781537,0.01321039,0.06571856,17.58
3,Deterministic Grid,Ladder_of_Pairs,30.099267345999998,26.733011594150373,2.65450515,68.77864778,7499.0
3,Deterministic Grid,Sorted_X_Axis,0.110082788,0.06717840244836856,0.02653308,0.20252537,24.8
3,Randomized Grid,Ladder_of_Pairs,0.07965180200000002,0.043949431526344236,0.02457074,0.13409064,17.1
3,Randomized Grid,Sorted_X_Axis,0.08048707799999999,0.041492091975735806,0.02518067,0.13165844999999998,18.240000000000002
5,Deterministic Grid,Ladder_of_Pairs,33.840596208,29.62628059758282,3.1346271000000003,76.53210287,7499.0
5,Deterministic Grid,Sorted_X_Axis,0.648423756,0.34904624398349726,0.20693443,1.08983223,22.6
5,Randomized Grid,Ladder_of_Pairs,0.6486659699999999,0.35115997548433936,0.20458536000000002,1.08616731,16.839999999999996
5,Randomized Grid,Sorted_X_Axis,0.6433593240000001,0.347956256701465,0.20505579000000002,1.0780143599999998,16.959999999999997
7,Deterministic Grid,Ladder_of_Pairs,45.991575964,41.17906537680797,4.934566439999999,106.27278887,7499.0
7,Deterministic Grid,Sorted_X_Axis,6.4446726420000005,3.7122289120583103,1.8999882700000001,11.04224419,35.8
7,Randomized Grid,Ladder_of_Pairs,6.400009514,3.728304695007615,1.9017341300000001,11.11624786,16.98
7,Randomized Grid,Sorted_X_Axis,6.473778508,3.7646384927823138,1.9080560800000002,11.32237561,16.84
