Timestamp,Dataset,Dimensions,Num_Points,Min_Separation_m,Input_Order,Algorithm,Iterations,Min_Distance_m,Flight1_ID,Flight2_ID,Flight1_Epoch_UTC,Flight2_Epoch_UTC,Mean_Time_ms,Median_Time_ms,StdDev_Time_ms,Raw_Times_ms,Mean_Rebuilds,Median_Rebuilds,StdDev_Rebuilds,Raw_Rebuilds
2026-09-12 01:18:14,OpenSky,4,39037788,0.05,Original,Deterministic Grid,10,0.250,16014,16038,1558929570.0,1558929570.0,348143.384,337237.225,20145.428,"[374489.20897, 393652.55683, 353693.45092, 337544.87924, 337303.00817, 337122.58726, 336527.91944, 337171.44108, 337041.19658, 336887.59646]",26.00,26.00,0.00,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
2026-09-12 02:19:41,OpenSky,4,39037788,0.05,Original,Randomized Grid,10,0.250,16014,16038,1558929570.0,1558929570.0,367306.290,368694.294,16041.405,"[386913.63494, 368661.37197, 371956.51820, 385106.14358, 368727.21540, 384348.20342, 357309.78239, 337931.07290, 362485.28256, 349623.67366]",34.50,32.00,7.11,"[24, 29, 43, 34, 30, 42, 30, 43, 41, 29]"
2026-09-12 03:16:02,OpenSky,4,39037788,0.05,Sorted_Time_Axis,Deterministic Grid,10,0.250,16038,16014,1558929570.0,1558929570.0,338086.101,338078.073,301.540,"[338518.71472, 337924.84193, 338165.93622, 337841.67809, 338116.82832, 337663.97886, 338070.80200, 337839.90035, 338085.34333, 338632.98220]",26.00,26.00,0.00,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
2026-09-12 04:17:40,OpenSky,4,39037788,0.05,Sorted_Time_Axis,Randomized Grid,10,0.250,16038,16014,1558929570.0,1558929570.0,368350.349,365505.664,10038.323,"[365072.61880, 361093.10243, 386512.95341, 386845.99061, 364567.91112, 365938.70852, 361737.62989, 367073.25204, 358233.33453, 366427.98413]",30.70,33.00,5.98,"[32, 35, 34, 36, 24, 38, 35, 21, 28, 24]"
