Timestamp,Dataset,Dimensions,Num_Points,Min_Separation_m,Input_Order,Algorithm,Iterations,Min_Distance_m,Flight1_ID,Flight2_ID,Flight1_UTC,Flight2_UTC,Mean_Time_ms,Median_Time_ms,StdDev_Time_ms,Raw_Times_ms,Mean_Rebuilds,Median_Rebuilds,StdDev_Rebuilds,Raw_Rebuilds
2026-09-12 14:24:09,OpenSky_100M,4,133484198,0.05,Original,Deterministic Grid,3,0.062,3420230,4939173,1558425470.0,1558425470.0,1984056.455,1982863.409,27594.109,"[1982863.41, 2012227.74, 1957078.22]",20.00,20.00,0.00,"[20, 20, 20]"
2026-09-12 16:04:15,OpenSky_100M,4,133484198,0.05,Original,Randomized Grid,3,0.062,4938779,4938861,1558427180.0,1558427180.0,1956605.094,1957782.104,21702.094,"[1957782.10, 1934338.45, 1977694.73]",32.67,31.00,8.62,"[25, 42, 31]"
