Dimensions,Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
2,Deterministic Grid,Original,0.401720262,0.383515491674411,0.03423453,0.8764278900000001,24.2
2,Deterministic Grid,Sorted_X_Axis,0.355675996,0.32892416019975684,0.02470129,0.80293986,14.0
2,Randomized Grid,Original,0.327859604,0.35116407197409527,0.035245530000000004,0.88478497,21.4
2,Randomized Grid,Sorted_X_Axis,0.32691922,0.3294054647467492,0.0315142,0.8201152899999999,21.4
3,Deterministic Grid,Original,0.661464742,0.7248088673668264,0.03984309,1.82430855,19.6
3,Deterministic Grid,Sorted_X_Axis,0.52024129,0.516998833991822,0.04395767,1.25705863,16.0
3,Randomized Grid,Original,0.6805433879999999,0.6939553465094701,0.035449390000000004,1.72945559,20.8
3,Randomized Grid,Sorted_X_Axis,0.6892155600000001,0.7010607870871257,0.03826267,1.73689797,20.8
5,Deterministic Grid,Original,5.218353658,5.140502355541585,0.37148949,12.5749478,22.4
5,Deterministic Grid,Sorted_X_Axis,5.1884697399999995,5.147013268012349,0.34420941,12.464701,19.6
5,Randomized Grid,Original,5.037917992,4.995580368437938,0.33438063,12.251955970000001,20.8
5,Randomized Grid,Sorted_X_Axis,5.01348619,5.063268336689452,0.34165294999999996,12.338416559999999,20.8
7,Deterministic Grid,Original,54.286048394,47.79765036623337,4.30792718,110.6402153,18.2
7,Deterministic Grid,Sorted_X_Axis,54.059379035999996,52.074435241366224,4.01971313,126.8075255,16.8
7,Randomized Grid,Original,56.89528540599999,52.46475887626855,4.3655668,122.82761678,25.6
7,Randomized Grid,Sorted_X_Axis,47.75098664,42.49846388608014,4.503145470000001,108.93953894,25.6
