Timestamp,Dataset,Dimensions,Num_Points,Min_Separation_m,Input_Order,Algorithm,Iterations,Min_Distance_m,Flight1_ID,Flight2_ID,Flight1_UTC,Flight2_UTC,Mean_Time_ms,Median_Time_ms,StdDev_Time_ms,Raw_Times_ms,Mean_Rebuilds,Median_Rebuilds,StdDev_Rebuilds,Raw_Rebuilds
2026-09-12 22:25:37,OpenSky_100M,4,133484198,0.05,Original,Deterministic Grid,10,0.062,3420230,4939173,1558425470.0,1558425470.0,1956517.069,1956758.737,2578.773,"[1962224.83, 1955046.19, 1955309.66, 1954667.28, 1957325.85, 1957816.26, 1958240.88, 1953162.70, 1956758.74, 1954618.31]",20.00,20.00,0.00,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
2026-09-13 03:59:31,OpenSky_100M,4,133484198,0.05,Original,Randomized Grid,10,0.062,4938779,4938861,1558427180.0,1558427180.0,1957852.718,1954395.270,24592.814,"[1951532.13, 1935742.77, 1982526.09, 1943552.46, 1998174.14, 1954395.27, 1970736.82, 1945128.40, 1979639.71, 1917099.39]",34.00,33.00,5.35,"[25, 42, 31, 37, 32, 29, 40, 32, 39, 33]"
