Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
Deterministic Grid,Original,23.01858384615385,3.7920628077638434,18.493385,32.129766,24.76923076923077
Deterministic Grid,Sorted_Time,22.95038346153846,3.6313621101737112,18.738799,31.391377000000002,24.46153846153846
Randomized Grid,Original,22.606800230769235,3.9997313238187453,18.60398,33.138121,25.284615384615385
Randomized Grid,Sorted_Time,22.63939223076923,3.970261717219537,18.682006,32.717984,24.607692307692307
