Timestamp,Space_Type,Dimensions,Num_Points,Input_Order,Algorithm,Iterations,Min_Distance,Mean_Time_ms,Median_Time_ms,StdDev_Time_ms,Raw_Times_ms
2026-09-03 01:00:16,Normal,3,2000,Sorted_X_Axis,Randomized Grid,10,2.64122,1.07629,1.04203,0.10453,"[1.05325, 1.28679, 1.20017, 1.08018, 1.01601, 0.93233, 1.03082, 1.13722, 1.01260, 1.01351]"
2026-09-03 01:00:16,Adversarial,3,2000,Ladder_of_Pairs,Deterministic Grid,10,0.45001,56.18137,55.98992,0.51443,"[56.86716, 56.27739, 55.74883, 55.71974, 55.71938, 57.16424, 56.51069, 56.07579, 55.82638, 55.90406]"
2026-09-03 01:00:16,Adversarial,3,2000,Ladder_of_Pairs,Randomized Grid,10,0.45001,1.14564,1.10760,0.14641,"[1.06061, 1.41207, 1.13353, 1.29389, 0.96343, 1.08166, 1.00693, 1.30645, 1.15288, 1.04492]"
2026-09-03 01:00:16,Normal,3,10000,Original,Deterministic Grid,10,1.25773,7.27099,7.20118,0.27576,"[8.02271, 7.31282, 7.20183, 7.27212, 7.10858, 7.22908, 7.14436, 7.03445, 7.20054, 7.18339]"
2026-09-03 01:00:16,Normal,3,10000,Original,Randomized Grid,10,1.25773,6.50716,6.30293,0.87722,"[6.13894, 5.79970, 5.59353, 6.46693, 5.60137, 7.02051, 5.92077, 7.85482, 7.98182, 6.69323]"
2026-09-03 01:00:16,Normal,3,10000,Sorted_X_Axis,Deterministic Grid,10,1.25773,5.52027,5.46542,0.19464,"[6.04879, 5.48190, 5.46097, 5.46833, 5.46251, 5.51993, 5.57140, 5.43171, 5.37753, 5.37967]"
2026-09-03 01:00:16,Normal,3,10000,Sorted_X_Axis,Randomized Grid,10,1.25773,6.33678,6.21258,0.61897,"[6.10602, 6.77896, 6.31914, 5.93799, 6.05375, 6.38123, 5.68128, 5.78355, 7.81755, 6.50833]"
2026-09-03 01:00:35,Adversarial,3,10000,Ladder_of_Pairs,Deterministic Grid,10,0.08999,1818.18342,1817.90187,9.67213,"[1806.48274, 1820.60419, 1816.95197, 1812.20620, 1818.85178, 1810.71631, 1838.87586, 1826.29270, 1808.47657, 1822.37586]"
2026-09-03 01:00:35,Adversarial,3,10000,Ladder_of_Pairs,Randomized Grid,10,0.08999,6.28606,6.28994,0.41313,"[6.65529, 6.55519, 6.75513, 6.05902, 6.43579, 5.67019, 5.87720, 5.87612, 6.83257, 6.14410]"
2026-09-03 01:00:36,Normal,3,100000,Original,Deterministic Grid,10,0.38447,107.64721,104.44684,7.96221,"[119.18721, 106.04612, 109.18071, 102.84755, 102.21627, 102.08870, 101.44498, 102.52483, 106.46719, 124.46851]"
2026-09-03 01:00:37,Normal,3,100000,Original,Randomized Grid,10,0.38447,76.49748,76.24198,6.16920,"[70.24477, 79.83042, 72.79984, 68.30707, 70.07252, 86.21632, 75.46250, 83.55626, 81.46366, 77.02146]"
2026-09-03 01:00:37,Normal,3,100000,Sorted_X_Axis,Deterministic Grid,10,0.38447,69.57492,69.06010,2.73286,"[73.77630, 70.15443, 69.70027, 68.26860, 67.21825, 74.47334, 70.26919, 68.41992, 66.79231, 66.67664]"
2026-09-03 01:00:38,Normal,3,100000,Sorted_X_Axis,Randomized Grid,10,0.38447,79.80215,79.66777,11.22267,"[76.23032, 68.22573, 68.05774, 85.33113, 83.56606, 100.45803, 66.78083, 83.10522, 92.48132, 73.78510]"
2026-09-03 01:43:30,Adversarial,3,100000,Ladder_of_Pairs,Deterministic Grid,10,0.00900,257152.98586,257504.84956,1397.45587,"[257290.15357, 258118.66806, 254463.80721, 258565.04696, 258137.37681, 257652.96953, 257356.72960, 257068.75675, 258036.52832, 254839.82176]"
