Dimensions,Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
2,Deterministic Grid,Original,1.091279586,0.9871698780972273,0.13771019999999998,2.43554498,24.2
2,Deterministic Grid,Sorted_X_Axis,0.9314880080000002,0.8289858693905914,0.09751502000000001,2.0621297100000002,14.0
2,Randomized Grid,Original,1.19421805,1.1975405277214795,0.13046409,3.07072842,23.139999999999997
2,Randomized Grid,Sorted_X_Axis,1.058107784,0.9697354564955496,0.13289919,2.50849214,22.56
3,Deterministic Grid,Original,2.376363022,2.2580149818810114,0.24603411,5.69828549,19.6
3,Deterministic Grid,Sorted_X_Axis,2.062659042,1.7251655895207405,0.26449785000000003,4.1895033999999995,16.0
3,Randomized Grid,Original,2.400282042,2.053700379335678,0.28066574000000005,4.977972660000001,21.8
3,Randomized Grid,Sorted_X_Axis,2.3255963559999997,2.0238524951388888,0.29282566000000004,5.14158655,20.46
5,Deterministic Grid,Original,20.104781960000004,18.04192956392791,2.97493929,46.09979897,22.4
5,Deterministic Grid,Sorted_X_Axis,21.3412986,21.522586811444633,2.7068587600000003,55.9452657,19.6
5,Randomized Grid,Original,20.07693064,18.594817855245594,2.77467243,47.651262190000004,23.46
5,Randomized Grid,Sorted_X_Axis,18.172451640000002,15.541270758043384,2.68069452,39.81134517,21.32
7,Deterministic Grid,Original,157.180163756,141.48931179310858,24.14163759,355.23651112,18.2
7,Deterministic Grid,Sorted_X_Axis,104.26611783749999,98.68969630600972,22.44433642,242.41898243,16.75
7,Randomized Grid,Original,160.49354186,144.5155248788835,21.261885300000003,349.40421401,22.24
7,Randomized Grid,Sorted_X_Axis,107.0895062525,97.98086603851344,21.345663400000003,239.50230986,22.0
