Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
Deterministic Grid,Original,13.855025166666666,3.868180934290923,6.822121,19.236636999999998,19.416666666666668
Deterministic Grid,Sorted_Time,14.337778791666665,4.735926982663653,6.875408999999999,24.186173,20.416666666666668
Randomized Grid,Original,13.838750249999999,4.256022230469863,7.531857,19.198416,24.90416666666667
Randomized Grid,Sorted_Time,13.635038583333333,4.077520864164454,7.652031,19.307507,24.516666666666666
