Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
Deterministic Grid,Original,29.303717738095244,9.395897377409483,18.062784999999998,48.688731,22.952380952380953
Deterministic Grid,Sorted_Time,29.285956309523808,9.376547992430774,18.05252,48.532028,22.857142857142858
Randomized Grid,Original,28.64079492857143,9.06688585995278,17.602491999999998,42.936282,24.938095238095237
Randomized Grid,Sorted_Time,28.683924261904757,9.109117994171283,17.978428,43.897144999999995,24.859523809523814
